cenario,tamanho_label,n,algoritmo,repeticao,tempo_s,comparacoes,trocas,ordenado,status
aleatoria pequena,pequena,1000,Insertion Sort,1,0.084751,256711,255723,1,ok
aleatoria pequena,pequena,1000,Selection Sort,1,0.091300,499500,991,1,ok
aleatoria pequena,pequena,1000,Shell Sort,1,0.003889,13635,8619,1,ok
aleatoria pequena,pequena,1000,Merge Sort,1,0.003828,8678,9352,1,ok
aleatoria pequena,pequena,1000,Quick Sort,1,0.004707,10421,9568,1,ok
aleatoria pequena,pequena,1000,Radix Sort,1,0.002929,999,13000,1,ok
aleatoria pequena,pequena,1000,Insertion Sort,2,0.074400,258098,257103,1,ok
aleatoria pequena,pequena,1000,Selection Sort,2,0.089145,499500,991,1,ok
aleatoria pequena,pequena,1000,Shell Sort,2,0.003956,14012,8983,1,ok
aleatoria pequena,pequena,1000,Merge Sort,2,0.003809,8726,9367,1,ok
aleatoria pequena,pequena,1000,Quick Sort,2,0.004810,10254,9424,1,ok
aleatoria pequena,pequena,1000,Radix Sort,2,0.002902,999,13000,1,ok
aleatoria pequena,pequena,1000,Insertion Sort,3,0.073548,255898,254907,1,ok
aleatoria pequena,pequena,1000,Selection Sort,3,0.088770,499500,993,1,ok
aleatoria pequena,pequena,1000,Shell Sort,3,0.003895,13795,8781,1,ok
aleatoria pequena,pequena,1000,Merge Sort,3,0.003761,8716,9370,1,ok
aleatoria pequena,pequena,1000,Quick Sort,3,0.004827,10484,9641,1,ok
aleatoria pequena,pequena,1000,Radix Sort,3,0.002869,999,13000,1,ok
crescente,pequena,1000,Insertion Sort,1,0.000232,999,0,1,ok
crescente,pequena,1000,Selection Sort,1,0.088589,499500,0,1,ok
crescente,pequena,1000,Shell Sort,1,0.001542,5457,0,1,ok
crescente,pequena,1000,Merge Sort,1,0.003262,5052,5068,1,ok
crescente,pequena,1000,Quick Sort,1,0.006196,10361,9650,1,ok
crescente,pequena,1000,Radix Sort,1,0.002457,999,9000,1,ok
crescente,pequena,1000,Insertion Sort,2,0.000285,999,0,1,ok
crescente,pequena,1000,Selection Sort,2,0.100450,499500,0,1,ok
crescente,pequena,1000,Shell Sort,2,0.001208,5457,0,1,ok
crescente,pequena,1000,Merge Sort,2,0.002299,5052,5068,1,ok
crescente,pequena,1000,Quick Sort,2,0.004769,10743,10047,1,ok
crescente,pequena,1000,Radix Sort,2,0.001964,999,9000,1,ok
crescente,pequena,1000,Insertion Sort,3,0.000234,999,0,1,ok
crescente,pequena,1000,Selection Sort,3,0.087461,499500,0,1,ok
crescente,pequena,1000,Shell Sort,3,0.001170,5457,0,1,ok
crescente,pequena,1000,Merge Sort,3,0.002810,5052,5068,1,ok
crescente,pequena,1000,Quick Sort,3,0.006079,11105,10411,1,ok
crescente,pequena,1000,Radix Sort,3,0.002602,999,9000,1,ok
crescente,media,10000,Insertion Sort,1,0.002785,9999,0,1,ok
crescente,media,10000,Selection Sort,1,8.938150,49995000,0,1,ok
crescente,media,10000,Shell Sort,1,0.015957,75243,0,1,ok
crescente,media,10000,Merge Sort,1,0.032003,71712,75392,1,ok
crescente,media,10000,Quick Sort,1,0.067078,146796,139813,1,ok
crescente,media,10000,Radix Sort,1,0.024563,9999,110000,1,ok
crescente,media,10000,Insertion Sort,2,0.002279,9999,0,1,ok
crescente,media,10000,Selection Sort,2,8.975821,49995000,0,1,ok
crescente,media,10000,Shell Sort,2,0.015953,75243,0,1,ok
crescente,media,10000,Merge Sort,2,0.032052,71712,75392,1,ok
crescente,media,10000,Quick Sort,2,0.069553,149079,142004,1,ok
crescente,media,10000,Radix Sort,2,0.024559,9999,110000,1,ok
crescente,media,10000,Insertion Sort,3,0.002287,9999,0,1,ok
crescente,media,10000,Selection Sort,3,8.963821,49995000,0,1,ok
crescente,media,10000,Shell Sort,3,0.015898,75243,0,1,ok
crescente,media,10000,Merge Sort,3,0.032371,71712,75392,1,ok
crescente,media,10000,Quick Sort,3,0.067323,146798,139784,1,ok
crescente,media,10000,Radix Sort,3,0.024312,9999,110000,1,ok
crescente,grande,50000,Insertion Sort,1,0.011411,49999,0,1,ok
crescente,grande,50000,Selection Sort,1,224.659747,1249975000,0,1,ok
crescente,grande,50000,Shell Sort,1,0.095890,455719,0,1,ok
crescente,grande,50000,Merge Sort,1,0.192455,413984,417488,1,ok
crescente,grande,50000,Quick Sort,1,0.424579,874408,838198,1,ok
crescente,grande,50000,Radix Sort,1,0.122677,49999,550000,1,ok
crescente,grande,50000,Insertion Sort,2,0.011240,49999,0,1,ok
crescente,grande,50000,Selection Sort,2,223.850107,1249975000,0,1,ok
crescente,grande,50000,Shell Sort,2,0.096034,455719,0,1,ok
crescente,grande,50000,Merge Sort,2,0.189426,413984,417488,1,ok
crescente,grande,50000,Quick Sort,2,0.420332,877943,841804,1,ok
crescente,grande,50000,Radix Sort,2,0.145001,49999,650000,1,ok
crescente,grande,50000,Insertion Sort,3,0.011142,49999,0,1,ok
crescente,grande,50000,Selection Sort,3,215.748614,1249975000,0,1,ok
crescente,grande,50000,Shell Sort,3,0.096837,455719,0,1,ok
crescente,grande,50000,Merge Sort,3,0.182225,413984,417488,1,ok
crescente,grande,50000,Quick Sort,3,0.403147,863638,827311,1,ok
crescente,grande,50000,Radix Sort,3,0.152569,49999,650000,1,ok
decrescente,pequena,1000,Insertion Sort,1,0.152558,499458,499265,1,ok
decrescente,pequena,1000,Selection Sort,1,0.099991,499500,564,1,ok
decrescente,pequena,1000,Shell Sort,1,0.002889,8443,3813,1,ok
decrescente,pequena,1000,Merge Sort,1,0.003316,5049,9904,1,ok
decrescente,pequena,1000,Quick Sort,1,0.004838,10718,10002,1,ok
decrescente,pequena,1000,Radix Sort,1,0.002028,999,9000,1,ok
decrescente,pequena,1000,Insertion Sort,2,0.145802,499432,499219,1,ok
decrescente,pequena,1000,Selection Sort,2,0.101185,499500,577,1,ok
decrescente,pequena,1000,Shell Sort,2,0.002315,8407,3774,1,ok
decrescente,pequena,1000,Merge Sort,2,0.003303,5033,9866,1,ok
decrescente,pequena,1000,Quick Sort,2,0.004888,10831,10081,1,ok
decrescente,pequena,1000,Radix Sort,2,0.001975,999,9000,1,ok
decrescente,pequena,1000,Insertion Sort,3,0.141584,499453,499258,1,ok
decrescente,pequena,1000,Selection Sort,3,0.089668,499500,576,1,ok
decrescente,pequena,1000,Shell Sort,3,0.002225,8406,3775,1,ok
decrescente,pequena,1000,Merge Sort,3,0.003152,5031,9889,1,ok
decrescente,pequena,1000,Quick Sort,3,0.004750,10532,9793,1,ok
decrescente,pequena,1000,Radix Sort,3,0.002038,999,9000,1,ok
decrescente,media,10000,Insertion Sort,1,14.623737,49994520,49992535,1,ok
decrescente,media,10000,Selection Sort,1,8.997986,49995000,5737,1,ok
decrescente,media,10000,Shell Sort,1,0.030773,118980,52494,1,ok
decrescente,media,10000,Merge Sort,1,0.044690,65699,138880,1,ok
decrescente,media,10000,Quick Sort,1,0.080767,152392,145430,1,ok
decrescente,media,10000,Radix Sort,1,0.025917,9999,110000,1,ok
decrescente,media,10000,Insertion Sort,2,14.591329,49994570,49992552,1,ok
decrescente,media,10000,Selection Sort,2,8.989232,49995000,5698,1,ok
decrescente,media,10000,Shell Sort,2,0.030826,118908,52420,1,ok
decrescente,media,10000,Merge Sort,2,0.042870,65705,138871,1,ok
decrescente,media,10000,Quick Sort,2,0.068389,149980,143087,1,ok
decrescente,media,10000,Radix Sort,2,0.024070,9999,110000,1,ok
decrescente,media,10000,Insertion Sort,3,14.649949,49994452,49992405,1,ok
decrescente,media,10000,Selection Sort,3,9.041946,49995000,5693,1,ok
decrescente,media,10000,Shell Sort,3,0.030776,118912,52426,1,ok
decrescente,media,10000,Merge Sort,3,0.043574,65701,138808,1,ok
decrescente,media,10000,Quick Sort,3,0.069673,152177,145149,1,ok
decrescente,media,10000,Radix Sort,3,0.024178,9999,110000,1,ok
decrescente,grande,50000,Insertion Sort,1,371.083355,1249972552,1249962609,1,ok
decrescente,grande,50000,Selection Sort,1,227.278361,1249975000,28679,1,ok
decrescente,grande,50000,Shell Sort,1,0.186636,683224,264774,1,ok
decrescente,grande,50000,Merge Sort,1,0.260652,387998,794439,1,ok
